postal_code,X,Y,LAT,LONG
098202,28754.7587236725,24880.5454325173,1.24128528590106,103.8401002733
098203,28729.5536050562,24921.0711451135,1.2416517869196,103.839873799979
098204,28697.4903364204,24943.663834054,1.24185610803912,103.839585704025
098205,28675.4449228914,24894.093200421,1.24140780893923,103.839387619472
098206,28663.0934970457,24856.3156088721,1.24106616179715,103.839276638089
098207,28644.6173749589,24825.113645982,1.24078398246908,103.839110624966
098208,28656.7841055699,24787.0543805752,1.24043978746905,103.839219945267
098209,28703.587397991,24823.1242524833,1.24076598986848,103.839640485059
098221,27784.6039521328,24730.3450732492,1.23992693408146,103.831383193802
098308,28469.2602955808,24670.8871000558,1.23938921421636,103.837534996351
098309,28525.5842309375,24730.360358581,1.23992706882713,103.838041081426
098327,28650.6285057215,25067.3016464393,1.24297424636055,103.839164641252
